GRCode,short name,clade,genus,trivial,subnames,subnames,taxon_author,date,senior synonym,,,
GR4106,Exp.seaf,graptolite,Expansograptus,serratulus_aff,*,*,_Sobolevskaya,*,99999,,,
GR4105,Exp.suaf,graptolite,Expansograptus,superstes_aff,*,*,_Sobolevskaya,*,99999,,,
GR5150,Gen.sp,graptolite,Geniculograptus,sp.,*,*,*,*,99999,,,
GR5161,Gen.sp3,graptolite,Geniculograptus,sp.3,*,*,*,*,99999,,,
GR5160,Gen.tyma?,graptolite,Geniculograptus,typicalis,magnificus?,*,*,*,99999,,,
GR5157,Gen.?sp.,graptolite,Geniculograptus?,sp.,*,*,*,*,99999,,,
GR3346,Glo.hicf,graptolite,Glossograptus,hinksii,hinksii_cf,*,*,*,99999,,,
GR4103,Glo.hoaf,graptolite,Glossograptus,holmi_aff,*,*,_Sobolevskaya,*,99999,,,
GR4844,Glo.sp.,graptolite,Glossograptus,sp,*,*,*,*,99999,,,
GR4845,Gly.aust_aff,graptolite,Glyptograptus,austrodentatus_aff,*,*,Paskevicius,1976,99999,,,
GR3425,Gly.eucf,graptolite,Glyptograptus,euglyphus_cf,*,*,*,*,99999,,,
GR4566,Gly.fa_af,graptolite,Glyptograptus,fastigans_aff,*,*,_Melchin,1989,99999,,,
GR4715,Gly.fa_af,graptolite,Glyptograptus,fastigatus_aff,*,*,_Davies_et_al,1997,99999,,,
GR4502,Gly.fa_af,graptolite,Glyptograptus,fastigatus_aff,*,*,_Varol_et_al,2006,99999,,,
GR4706,Gly.inaf,graptolite,Glyptograptus,incertus,sensu_Hutt_aff,*,_Davies_et_al,1997,99999,,,
GR4491,Gly.in_af,graptolite,Glyptograptus,incertus_aff,*,*,_Rickards,1970,99999,,,
GR1357,Gly.lorC,graptolite,Glyptograptus,lorrainensis_cf,*,*,(Ruedemann),*,99999,,,
GR4546,Gly.naaf,graptolite,Glyptograptus,nanus_aff,*,*,_Melchin,1989,99999,,,
GR5191,Gly.new,graptolite,Glyptograptus,new_forms,*,*,*,*,99999,,,
GR3441,Gly.nicf,graptolite,Glyptograptus,nikolayeva_cf,*,*,Obut,1965,99999,,,
GR4846,Gly.shelv_cf,graptolite,Glyptograptus,shelvensis_cf,*,*,Nilsson,1983,99999,,,
GR5167,Gly.sp.,graptolite,Glyptograptus,sp.,*,*,*,*,99999,,,
GR4712,Gly.anaf,graptolite,Glyptograptus,tamariscus,angulatus_aff,*,_Davies_et_al,1997,99999,,,
GR1362,Gly.tamG,graptolite,Glyptograptus,tamariscus,gp,*,(Nicholson),*,99999,,,
GR4496,Gly.liaf,graptolite,Glyptograptus,tamariscus,linearis_aff,*,_Rickards,1970,99999,,,
GR4849,Gon.sp.,graptolite,Goniograptus,sp,*,*,*,*,99999,,,
GR4850,Gon?sp,graptolite,Goniograptus?,sp,*,*,*,*,99999,,,
GR3224,Had.olaf,graptolite,Haddingograptus,oliveri_aff,*,*,_Ortega_&_Rickards,2003,99999,,,
GR3267,Had.olcf,graptolite,Haddingograptus,oliveri_cf,*,*,(Boucek),*,99999,,,
GR4851,Had?sp,graptolite,Haddingograptus?,sp,*,*,*,*,99999,,,
GR4929,Hir.sp.,graptolite,Hirsutograptus,sp,*,*,*,*,99999,,,
GR3896,Hol.leaf,graptolite,Holmograptus,leptograptoides_aff,*,*,_Jackson_&_Lenz,2006,99999,,,
GR4852,Hol.sp.,graptolite,Holmograptus,sp,*,*,*,*,99999,,,
GR1048,Hun.sp.,graptolite,Hunnegraptus,sp,*,*,*,*,99999,,,
GR4853,Hus.sp.,graptolite,Hustedograptus,sp,*,*,*,*,99999,,,
GR3426,Hus.teaf,graptolite,Hustedograptus,teretiusculus_aff,*,*,_Norford,2002,99999,,,
GR4104,Hus.teaf,graptolite,Hustedograptus,teretiusculus_aff,*,*,_Sobolevskaya,*,99999,,,
GR4094,Hus.teaf,graptolite,Hustedograptus,teretiusculus_aff,*,*,_Zhang_et_al,2007,99999,,,
GR3225,Hus.vika,graptolite,Hustedograptus,vikarbyensis_cf,*,*,*,*,99999,,,
GR3275,Hut.incf,graptolite,Huttagraptus,incurvus_cf,*,*,Koren_&_Bjerreskov,*,99999,,,
GR3277,Hut.prcf,graptolite,Huttagraptus,praestrachani_cf,*,*,(Hutt_&_Rickards),*,99999,,,
GR3451,Iso.focf,graptolite,Isograptus,forcipiformis_cf,*,*,(Ruedemann),1904,99999,,,
GR4855,Iso.forc_cf,graptolite,Isograptus,forcipiformis_cf,*,*,Nilsson,1983,99999,,,
GR4854,Iso.ovat_aff,graptolite,Isograptus,ovatus_aff,*,*,Nilsson,1983,99999,,,
GR3458,Iso.prcf,graptolite,Isograptus,primulus_cf,*,*,Harris,1933,99999,,,
GR3431,Iso.macf,graptolite,Isograptus,victoriae,maximodivergens_cf,*,(Harris),1933,99999,,,
GR4657,Iso.macf,graptolite,Isograptus,victoriae,maximus_cf,*,Harris,1933,99999,,,
GR3409,Iso.vicf,graptolite,Isograptus,victoriae,victoriae_cf,*,Harris,1933,99999,,,
GR4664,Jan.pecf,graptolite,Janograptus,peruviensis_cf,*,*,Lemon_&_Cranswick,1956,99999,,,
GR1045,Kia.sp.,graptolite,Kiaerograptus,sp,*,*,*,*,99999,,,
GR1016,Kin.sp.,graptolite,Kinnegraptus,sp,*,*,*,*,99999,,,
GR4932,Kor.lan_cf,graptolite,Korenograptus,lanpheri_cf,*,*,_Melchin,1987,99999,,,
GR4857,Las.cost_cf,graptolite,Lasiograptus,costatus_cf,*,*,Podhalanska,1980,99999,,,
GR5155,Las.n.sp.A,graptolite,Lasiograptus,n.sp.A,*,*,*,*,99999,,,
GR4858,Las.sp.,graptolite,Lasiograptus,sp,*,*,*,*,99999,,,
GR4859,Lep.sp.,graptolite,Leptograptus,sp,*,*,*,*,99999,,,
GR5531,Lep.sp2Mit,graptolite,Leptograptus,sp.2,Mitchell_et_al_Unpublished,*,Mitchell_et_al.,unpublished,99999,,,
GR3309,Lep.incf,graptolite,Leptograptus,validus,incisus_cf,*,*,*,99999,,,
GR4785,?Lep.sp.,graptolite,Leptograptus?,sp,*,*,*,*,99999,,,
GR3450,Log.locf,graptolite,Loganograptus,logani_cf,*,*,(Hall)Elles_&_Wood,1858,99999,,,
GR4860,Mae.sp.,graptolite,Maeandrograptus,sp,*,*,*,*,99999,,,
GR5195,Mas.sp,graptolite,Mastigograptus,sp.,*,*,*,*,99999,,,
GR5196,Med.?,graptolite,Medusaegraptus?,*,*,*,*,*,99999,,,
GR3630,Met.huaf,graptolite,Metaclimacograptus,hughesi_aff,*,*,_Storch_&_Massa,2006,99999,,,
GR4692,Mon.craf,graptolite,Monoclimacis,crenularis_aff,*,*,_Davies_et_al,1997,99999,,,
